Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,-2.0801673272785592e-08,1.999002506636316e-06,-2.0007746570627205e-07,2.3083139844004563e-09,4.013551269110849e-09,6.845382594100613e-10,4.748307524948814e-09,4.66156624412406e-09,-2.1208235168046485e-10,7.569584958844189e-09,-1.4567298478596058e-08,3.080295574164893e-09,-3.1259350663503938e-09,-1.2086085021678628e-08,0.002110706176608801,6.125378422439098e-05,0.0013288443442434072,0.0019718750845640898,0.001725326874293387,-0.00012147614324931055,0.010715768672525883,0.0032410365529358387,4.02064215450082e-05,1.8472522924639634e-06,-4.7295317926909775e-05,0.013692121021449566,0.015371516346931458,0.001947294920682907,0.0015078046126291156,0.003973640967160463,0.0027055558748543262,0.0022212453186511993,0.0015518651343882084,-6.698000652249902e-05,-0.00014332034334074706,2.2485102817881852e-05,0.00011225985508644953,0.00017229557852260768,-0.00034513810533098876,-9.283945837523788e-05,-4.082707891939208e-05,2.9656648621312343e-05,1.5395655282191e-05,0.051384735852479935,0.026672160252928734,0.026755478233098984,0.00036313256714493036,0.001556651433929801,0.0019887962844222784,0.0001546482089906931,-4.7537141654174775e-05,3.554259775384594e-09,-4.144641074788069e-09,3.396521508491901e-09,6.640309635486119e-09,2.0919661558593816e-09,-1.8475272423046363e-09,7.705506455124578e-09,1.2124605763830232e-09,9.37922983723638e-09,5.038077954822029e-09,7.111334070941666e-06,-1.0287222096394544e-07,-1.9962885744462255e-06,-8.474817292380976e-08,20.00252914428711,-0.003258323762565851,0.0010354280238971114
00:00:00:02.033,68,-5.1471335638098026e-08,3.994038252130849e-06,-4.3439823116386833e-07,5.0290336339742225e-09,1.2360723999904621e-08,-1.448101916157185e-10,-1.0027213726004902e-08,-1.2607310750922807e-08,-8.179167343413951e-10,1.866347254519951e-08,-3.452200658671245e-08,5.685904191921054e-09,-7.45030792614898e-09,-2.8360489068290917e-08,0.00391467334702611,0.00014033805928193033,0.002173996763303876,0.005212610121816397,0.006892478559166193,0.0007125280098989606,0.04320783168077469,0.006315167061984539,5.7638641010271385e-05,-6.407740875147283e-05,4.113224349566735e-05,0.036599162966012955,0.040500469505786896,0.0029175756499171257,0.002074022777378559,0.0038266051560640335,0.0017162120202556252,0.00396216893568635,0.003032796550542116,-0.00010112024756381288,-0.00037846737541258335,7.72960702306591e-05,0.00022139507927931845,0.0003401351277716458,-0.0006146233645267785,-0.00017427535203751177,-0.00015751775936223567,0.00010955811012536287,8.409312431467697e-05,0.10525903850793839,0.058630894869565964,0.05879056453704834,0.001165237626992166,0.0024918292183429003,0.0031306680757552385,0.00042824153206311166,1.611031620996073e-05,-7.129814516559918e-09,1.801612525831331e-09,4.252184382380619e-09,1.9328547651298322e-08,1.2884896705145366e-08,-6.106197214528208e-10,3.049368757501725e-08,5.564264160540233e-09,1.1473812122630989e-08,1.223908441261301e-08,2.5446130166528746e-05,-2.2424246992613917e-07,-5.542934559343848e-06,3.155349190819834e-07,39.97319030761719,0.002667927648872137,0.005533814430236816
00:00:00:03.050,68,-8.030370679534826e-08,5.765067726315465e-06,-7.674331072848872e-07,7.912219324168746e-09,2.010822619524788e-08,1.5139745013215133e-10,-1.7876802260730074e-08,-2.1799124283461424e-08,-2.2979196323547058e-09,2.1405433869858825e-08,-4.579419510264415e-08,9.21233045403369e-09,-8.22861689897536e-09,-4.809607645483993e-08,0.005996463820338249,0.00011826233094325289,0.0031981125939637423,0.011584410443902016,0.015957549214363098,0.00571241183206439,0.09947232902050018,0.009079874493181705,0.00010213271889369935,-0.0001600542600499466,0.00013950567517895252,0.06533454358577728,0.07246042042970657,0.0036317077465355396,0.002637356286868453,0.003202560357749462,0.0016311113722622395,0.0040044221095740795,0.004368775524199009,-0.0001871291606221348,-0.000428191851824522,8.165662438841537e-05,0.00023356331803370267,0.0011618084972724319,-0.000600722967647016,-0.00028327625477686524,-0.0002079782570945099,0.00015015220560599118,0.00013409118400886655,0.1645643264055252,0.09733293950557709,0.09756017476320267,0.002255301456898451,0.0036792755126953125,0.0043469578959047794,0.0006783021381124854,0.00011221560271224007,-3.175781770892172e-08,-2.939057441864179e-09,2.3709025853690946e-09,3.275583182471564e-08,2.3771107748871145e-08,1.6581644946001006e-09,5.0385978056510794e-08,9.187606231364498e-09,7.857881456629912e-09,2.6301364641767577e-08,3.5766752262134105e-05,-2.4120154762385937e-07,-6.945506356714759e-06,3.231671144021675e-07,59.928993225097656,0.007274329662322998,-0.0013727188343182206
00:00:00:04.066,68,-9.217372110015276e-08,7.609226940985536e-06,-1.0172594784307876e-06,6.2831411185015895e-09,1.8544135116371763e-08,-3.134573434149246e-10,-4.528267538717046e-08,-4.202260583952011e-08,-3.95585075807503e-09,3.742727727740203e-08,-7.027619375321592e-08,1.0060115407384274e-08,-4.946261178417899e-09,-6.078425940359011e-08,0.008303520269691944,-3.0052580768824555e-05,0.004462577402591705,0.024195125326514244,0.029248839244246483,0.03162000700831413,0.16539448499679565,0.01184592954814434,4.456290480447933e-05,-0.00019376665295567364,0.000326694076647982,0.10019099712371826,0.11042908579111099,0.003948166035115719,0.0027293111197650433,0.003797069890424609,0.0024824305437505245,0.002283273497596383,0.006164110731333494,-5.505660010385327e-05,-0.00040340767009183764,4.049798735650256e-05,0.0002806355187203735,0.008751112967729568,0.0019257005769759417,-0.0003130623372271657,-0.0005717222229577601,0.00014800738426856697,0.00023105151194613427,0.22546681761741638,0.14077435433864594,0.14106008410453796,0.003326715435832739,0.0052770269103348255,0.005955389700829983,0.0007471786811947823,0.00010058990301331505,-3.8540310498547115e-08,-6.830770615806614e-09,8.014376662313083e-11,5.395363444904433e-08,3.121400027339405e-08,8.015257790816577e-09,6.773591110231791e-08,1.3241404417385638e-08,4.3537511373870075e-09,3.884403909637513e-08,6.33605886832811e-05,-1.6454650619834865e-07,-1.0890633348026313e-05,-1.3605852018372389e-06,79.87138366699219,0.01638469658792019,-0.009708166122436523
00:00:00:04.083,68,-1.0595482535791234e-07,9.372774911753368e-06,-1.1853550176965655e-06,6.995700907452829e-09,4.0092813513581405e-09,-2.116104180771572e-09,-5.085955834260858e-08,-4.8654609230425194e-08,-1.4774377277149142e-09,4.612455839492213e-08,-5.9260127471816304e-08,1.1430248747501537e-08,2.4501969342338725e-09,-5.5153190459122925e-08,0.010525263845920563,-0.00022043392527848482,0.006800781469792128,0.0429912693798542,0.04305495321750641,0.07783742994070053,0.22826611995697021,0.014584381133317947,-6.786221638321877e-05,-5.841024176334031e-05,0.0003415025130379945,0.13625909388065338,0.14975865185260773,0.003869755892083049,0.0022417299915105104,0.010511541739106178,0.010574772022664547,0.0010468164691701531,0.00850070919841528,-0.0002296901075169444,-0.00036155895213596523,0.0001550482411403209,0.00047323235776275396,0.04114728048443794,0.028172655031085014,-0.00023988325847312808,-0.001036910805851221,0.0001974475453607738,0.0003627610858529806,0.2900319993495941,0.1863696128129959,0.18670302629470825,0.004573473706841469,0.006368285045027733,0.006947426591068506,0.0006263141403906047,-0.0001490756549173966,-4.1574672593469586e-08,-2.3344364663557826e-08,5.5193116743623705e-09,6.347045911070381e-08,3.211075139120112e-08,4.117831409189421e-09,7.033874993567224e-08,3.400025372357618e-09,1.2725422937620579e-09,3.706828621830027e-08,8.380654617212713e-05,1.771295501384884e-07,-1.4558340808434878e-05,-1.5859391169215087e-06,99.87199401855469,0.011667191982269287,-0.02860310673713684
00:00:00:06.100,68,-1.0342094469706353e-07,9.076227797777392e-06,-1.2227613979121088e-06,5.588444818016569e-09,7.726077555503252e-09,-3.698068073987315e-09,-5.602975150509337e-08,-5.433624039596907e-08,-2.1946449102472343e-09,4.1234716974258845e-08,-6.134980878869101e-08,9.756278451789058e-09,6.858777101825808e-09,-4.547432297385967e-08,0.011571234092116356,-0.00020911339379381388,0.008009817451238632,0.06128299608826637,0.05208584666252136,0.10940739512443542,0.24056804180145264,0.01442766934633255,-7.55310247768648e-05,-0.000344911590218544,0.0003916037967428565,0.13432489335536957,0.1484442949295044,0.0039094300009310246,0.002323719672858715,0.020079467445611954,0.020038682967424393,0.0005754015874117613,0.009454317390918732,-0.0005544755258597434,-0.0006271345773711801,0.00027414262876845896,0.0005144695751369,0.07245398312807083,0.059214819222688675,0.0005471109761856496,-0.00025596885825507343,6.968140951357782e-05,0.0002801633672788739,0.29179778695106506,0.19107189774513245,0.19139251112937927,0.004909575916826725,0.0063155535608530045,0.006568951532244682,0.0005734589067287743,-0.00034620609949342906,-4.2470837513519655e-08,-1.1445840719659373e-08,5.783513223889258e-09,5.4978269048433503e-08,2.4329501968622935e-08,1.4787349122968863e-09,6.758585158195274e-08,4.854935120590653e-09,1.4267698134062812e-10,2.626996042920382e-08,7.402771734632552e-05,3.1257332011591643e-07,-1.3345778825168964e-05,-5.22642039868515e-07,99.91211700439453,0.009165585041046143,-0.008507847785949707
00:00:00:07.116,68,-1.3168552470688155e-07,8.477624760416802e-06,-1.5779677369209821e-06,5.201512554009469e-10,2.2511818187354038e-08,-8.183880240153485e-09,-6.411782749182748e-08,-7.616029051860096e-08,-3.697250505751981e-09,3.7146616449490466e-08,-4.495644034818724e-08,5.943212588732649e-09,1.3646590524274416e-08,-3.132669590399928e-08,0.012054833583533764,-0.0003220857761334628,0.008809377439320087,0.0710737481713295,0.05210638418793678,0.15130186080932617,0.22739486396312714,0.013968302868306637,4.2094347008969635e-05,-0.0009868652559816837,0.00018741973326541483,0.12243261188268661,0.13446295261383057,0.0037531759589910507,0.0023116401862353086,0.026443514972925186,0.02799902856349945,2.8596892661880702e-05,0.01007584948092699,-0.0004024547815788537,-0.000840364838950336,0.0003657784254755825,0.0004995783092454076,0.11842594295740128,0.10613556951284409,0.0009332193294540048,0.00023670382506679744,9.827256144490093e-05,0.00029779321630485356,0.2904320955276489,0.195399209856987,0.19569657742977142,0.004384685307741165,0.007802646607160568,0.007830074056982994,0.0006687284912914038,-0.00015309345326386392,-2.5162517403032325e-08,-7.628518261526551e-09,-3.603931819640138e-09,6.901080951138283e-08,2.7527839563390444e-08,1.0996106247773696e-08,6.753563042138921e-08,1.0207148015695111e-08,1.3242742902264126e-08,7.863020456966296e-09,7.166968862293288e-05,3.612922228057869e-07,-1.6050935300881974e-05,1.5232517398544587e-06,99.96644592285156,-0.00939100980758667,-0.02005147933959961
00:00:00:08.133,68,-1.0366107972004102e-07,8.512304702890106e-06,-1.7498850866104476e-06,4.4832165757568987e-10,2.044818359081546e-08,-8.93457219319771e-09,-8.143192076204286e-08,-1.0365089053721022e-07,-7.148039493642955e-09,4.5102034107458167e-08,-6.66246080527344e-08,6.567033583593229e-09,1.1784663911384996e-08,-2.4795308917191505e-08,0.012348076328635216,-0.0003446184564381838,0.009828561916947365,0.08920864015817642,0.04948342218995094,0.18558603525161743,0.19130057096481323,0.01326679065823555,0.00021458810078911483,-0.0008663643384352326,0.00043180756620131433,0.09286686033010483,0.10270586609840393,0.003957166336476803,0.0024398178793489933,0.02916494570672512,0.030209030956029892,-0.00025326453032903373,0.009818753227591515,-0.00023173454974312335,-0.0005067174206487834,0.00045326328836381435,0.000750807230360806,0.15777677297592163,0.14834146201610565,0.010118701495230198,0.009227665141224861,3.9234755604411475e-06,0.00011540926789166406,0.2703734338283539,0.18803972005844116,0.18831148743629456,0.004557307343930006,0.009685002267360687,0.010716591030359268,0.00043087435187771916,0.0001033890584949404,-2.882794802872013e-08,1.6995590712554076e-08,-1.0736869171523722e-09,4.8509534167351376e-08,3.5683534349573165e-08,-8.789641237072487e-10,7.735690843446719e-08,-2.2216386508233654e-09,4.2779308984108866e-09,4.288470023539048e-09,8.884379349183291e-05,-1.8894297681981698e-07,-1.7990438209380955e-05,3.371708316990407e-07,100.07227325439453,-0.013918697834014893,-0.005903512239456177
00:00:00:09.150,68,-5.8641070665998996e-08,8.394400538236368e-06,-1.432734279660508e-06,3.4976279650322795e-09,3.1526724342256784e-08,-4.885575943802678e-09,-1.0732415489655978e-07,-1.2923594283620332e-07,-3.634506917649105e-09,3.2516506820456925e-08,-4.7108176914889555e-08,7.154386416630132e-09,1.5807357200969818e-08,-4.714459578281094e-08,0.012731870636343956,-0.00015696670743636787,0.011544175446033478,0.10676217824220657,0.036782413721084595,0.20662589371204376,0.1477084755897522,0.011826280504465103,0.0004781584721058607,-0.0015095617854967713,0.00025738426484167576,0.05785460025072098,0.06280083954334259,0.0037063458003103733,0.002054443582892418,0.03715686872601509,0.03620061278343201,-0.0001838698226492852,0.009158642962574959,-0.00035202447907067835,-0.00019983244419563562,0.00039631224353797734,0.0007399801979772747,0.2037137746810913,0.19651786983013153,0.03375600278377533,0.03401173651218414,4.714339956990443e-05,0.00015447117039002478,0.2686101198196411,0.18336577713489532,0.18361948430538177,0.004007561132311821,0.01568596437573433,0.017624808475375175,0.0006882668822072446,0.0011891910107806325,4.2049812520872365e-09,2.798595666320125e-08,-2.454925152051146e-09,3.865761755150743e-08,3.651265245707691e-08,9.924127297722407e-09,7.19025408102425e-08,-8.819340813204235e-09,6.475647795767259e-10,1.3987530245174185e-08,8.433358743786812e-05,-1.8394257494946942e-07,-1.934987085405737e-05,3.9330279832938686e-07,100.10303497314453,-0.04295581579208374,-0.025374650955200195
