Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
19:17:23:30.429,61,0.0421835072,0.0000000000,0.0417626500,0.0000000000,0.0000000000,0.0997597277,0.0000000000,0.0405723713,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0995065570,0.0000000000,0.0000000000,0.0284531433,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0582184084,0.0000000000,0.1907162070,0.1006610319,0.0000000000,0.0000000000,0.0032527016,0.0000000000,0.0173622649,0.0000000000,0.1240505874,0.0000000000,0.0709887743,0.0243081432,0.0122507038,0.0120198764,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0353031904,0.0319489129,0.0356346332,0.0000000000,0.0000000000,0.0078445775,0.0619031861,0.0277158096,0.0279852636,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0232398808,0.0070239305,-0.0009559368,0.0225235671,0.0070601925,-0.0002067289
19:17:23:31.429,61,0.0437556095,0.0000000000,0.0419801511,0.0000000000,0.0000000000,0.1003401428,0.0000000000,0.0419538058,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000850573,0.0000000000,0.0000000000,0.0284785330,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0581394769,0.0000000000,0.1906274557,0.1006239727,0.0000000000,0.0000000000,0.0032920963,0.0000000000,0.0177232213,0.0000000000,0.1242565140,0.0000000000,0.0712575912,0.0244898442,0.0122915274,0.0120532177,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0351360403,0.0317745842,0.0358529724,0.0000000000,0.0000000000,0.0078568999,0.0623670071,0.0281230863,0.0284042154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0233006887,0.0076436941,-0.0009624574,0.0226426125,0.0076801106,-0.0001520705
19:17:23:32.431,61,0.0476249494,0.0000000000,0.0447294079,0.0000000000,0.0000000000,0.1013039052,0.0000000000,0.0453930497,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1010469645,0.0000000000,0.0000000000,0.0288360938,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0581837334,0.0000000000,0.1903319508,0.1002953872,0.0000000000,0.0000000000,0.0033155002,0.0000000000,0.0177294333,0.0000000000,0.1244941056,0.0000000000,0.0714791641,0.0246491637,0.0123843513,0.0121238176,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0380154662,0.0344589315,0.0362284258,0.0000000000,0.0000000000,0.0079020569,0.0630357042,0.0286382921,0.0288675334,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0246675704,0.0092006810,-0.0010145339,0.0241287053,0.0092374738,-0.0000490663
19:17:23:33.433,61,0.0489637218,0.0000000000,0.0434639417,0.0000000000,0.0000000000,0.1014764979,0.0000000000,0.0466303937,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1012175828,0.0000000000,0.0000000000,0.0287412703,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0580369532,0.0000000000,0.1899469346,0.1000550017,0.0000000000,0.0000000000,0.0032853675,0.0000000000,0.0173150040,0.0000000000,0.1246288642,0.0000000000,0.0715245157,0.0246909261,0.0124657061,0.0122019593,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0365053900,0.0328930467,0.0358974338,0.0000000000,0.0000000000,0.0079173939,0.0632625073,0.0287345368,0.0289009996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0240051281,0.0094007570,-0.0009962143,0.0234472677,0.0094375610,-0.0000099894
19:17:23:34.435,61,0.0501257516,0.0000000000,0.0430906303,0.0000000000,0.0000000000,0.1017337292,0.0000000000,0.0478843302,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1014719680,0.0000000000,0.0000000000,0.0282528345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0576733872,0.0000000000,0.1894516945,0.0999098793,0.0000000000,0.0000000000,0.0031501823,0.0000000000,0.0165682025,0.0000000000,0.1248493865,0.0000000000,0.0716269463,0.0247731302,0.0125397379,0.0122854710,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0363407508,0.0327296555,0.0359030142,0.0000000000,0.0000000000,0.0079308394,0.0632895008,0.0287260227,0.0290445238,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0238136370,0.0097278897,-0.0009928213,0.0232469812,0.0097647328,0.0000268936
19:17:23:35.436,61,0.0510725155,0.0000000000,0.0434231535,0.0000000000,0.0000000000,0.1021459028,0.0000000000,0.0488338321,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1018820331,0.0000000000,0.0000000000,0.0282297973,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0575655214,0.0000000000,0.1891505271,0.0996761844,0.0000000000,0.0000000000,0.0031978046,0.0000000000,0.0162065160,0.0000000000,0.1252702773,0.0000000000,0.0719391555,0.0249643754,0.0126892319,0.0124272220,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0386806093,0.0350678042,0.0359077640,0.0000000000,0.0000000000,0.0079904329,0.0634509400,0.0287122205,0.0292172004,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0238577016,0.0106863119,-0.0010006585,0.0234287903,0.0107234474,0.0001127222
19:17:23:36.438,61,0.0517466068,0.0000000000,0.0444913283,0.0000000000,0.0000000000,0.1025088206,0.0000000000,0.0495217182,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1022404656,0.0000000000,0.0000000000,0.0277526714,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0572811626,0.0000000000,0.1886830777,0.0993657261,0.0000000000,0.0000000000,0.0031853328,0.0000000000,0.0157097448,0.0000000000,0.1256205291,0.0000000000,0.0721637905,0.0251134355,0.0127998469,0.0125444848,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0392100438,0.0356104895,0.0362413861,0.0000000000,0.0000000000,0.0080280779,0.0636652187,0.0287826397,0.0293959063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0243667737,0.0111095402,-0.0010176861,0.0240055993,0.0111468192,0.0001370597
19:17:23:37.440,61,0.0487153493,0.0000000000,0.0475826934,0.0000000000,0.0000000000,0.1021436453,0.0000000000,0.0468689017,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1018763110,0.0000000000,0.0000000000,0.0275118351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0570557229,0.0000000000,0.1884531826,0.0993904024,0.0000000000,0.0000000000,0.0030749280,0.0000000000,0.0150701748,0.0000000000,0.1259086579,0.0000000000,0.0724057108,0.0252618324,0.0128822755,0.0126491440,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0400401130,0.0364751257,0.0363369063,0.0000000000,0.0000000000,0.0080868034,0.0636322200,0.0288232621,0.0293016210,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0259549599,0.0108547825,-0.0010605748,0.0256710425,0.0108921099,0.0000664329
19:17:23:38.441,61,0.0486386605,0.0000000000,0.0467859805,0.0000000000,0.0000000000,0.1020199060,0.0000000000,0.0468353666,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1017507091,0.0000000000,0.0000000000,0.0271302424,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0568035133,0.0000000000,0.1882465333,0.0994048640,0.0000000000,0.0000000000,0.0029953727,0.0000000000,0.0144428667,0.0000000000,0.1261866838,0.0000000000,0.0726085454,0.0253918041,0.0129612656,0.0127403243,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0404425487,0.0369064510,0.0365557224,0.0000000000,0.0000000000,0.0081131812,0.0637052208,0.0288697891,0.0295381919,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0254832692,0.0112481341,-0.0010494073,0.0252426937,0.0112855621,0.0001164265
19:17:23:39.443,61,0.0535337068,0.0000000000,0.0459455214,0.0000000000,0.0000000000,0.1025651544,0.0000000000,0.0514573678,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1022913158,0.0000000000,0.0000000000,0.0266093854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0566477776,0.0000000000,0.1880045682,0.0991458818,0.0000000000,0.0000000000,0.0029549270,0.0000000000,0.0139713911,0.0000000000,0.1264646947,0.0000000000,0.0728579611,0.0255808439,0.0130422460,0.0128226746,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0408633612,0.0373359770,0.0367780291,0.0000000000,0.0000000000,0.0081251962,0.0641228110,0.0290561654,0.0302048568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0249566026,0.0120587312,-0.0010395078,0.0247918293,0.0120963529,0.0002069059
