Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
19:16:29:35.273,61,0.0041966378,0.0000000000,0.0191214196,0.0000000000,0.0673273504,0.1844390035,0.0000000000,0.0041499580,0.0000000000,0.0000000000,0.0000000000,0.0676717535,0.1849397123,0.0000000000,0.0185259599,0.1040443480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0610610396,0.0000000000,0.2865217924,0.2187024355,0.0000000000,0.0000000000,0.0517188869,0.0410588384,0.1001809910,0.0311258268,0.0319855995,0.0038937472,0.0253913291,0.0169014726,0.0100610433,0.0070656594,0.1681665629,0.0744646192,0.0624296106,0.0217373446,0.0211990550,0.0175819602,0.0034065114,0.0000000000,0.0000000000,0.0015692611,0.1495654881,0.1447727531,0.0701622516,0.0421696119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119662024,-0.0268916115,0.0000396844,0.0101872832,-0.0268917531,-0.0025986303
19:16:29:36.275,61,0.0045661456,0.0000000000,0.0188337546,0.0000000000,0.0676951930,0.1868856698,0.0000000000,0.0045149853,0.0000000000,0.0000000000,0.0000000000,0.0680385754,0.1873351038,0.0000000000,0.0186247658,0.1036398187,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0611264184,0.0000000000,0.2863792479,0.2182432860,0.0000000000,0.0000000000,0.0518685803,0.0411232077,0.1005245671,0.0315549970,0.0320510492,0.0038779657,0.0257468075,0.0172389336,0.0101260738,0.0071189650,0.1678149253,0.0741522834,0.0629313514,0.0220901128,0.0196972620,0.0160480328,0.0035117939,0.0000000000,0.0000000000,0.0015727010,0.1505734473,0.1450310647,0.0718543530,0.0433479957,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119825620,-0.0270374268,0.0000413464,0.0100317299,-0.0270376876,-0.0026003877
19:16:29:37.276,61,0.0047716452,0.0000000000,0.0202534255,0.0000000000,0.0703428388,0.1883634329,0.0000000000,0.0047189994,0.0000000000,0.0000000000,0.0000000000,0.0707082078,0.1887938380,0.0000000000,0.0186085142,0.1035393029,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0612912178,0.0000000000,0.2861833572,0.2177280933,0.0000000000,0.0000000000,0.0518792495,0.0410561673,0.1007009074,0.0317094922,0.0321723334,0.0038464994,0.0261194315,0.0175563507,0.0101655843,0.0071450509,0.1670814157,0.0732651502,0.0632862002,0.0222895592,0.0187056810,0.0149944834,0.0034457494,0.0000000000,0.0000000000,0.0015807798,0.1511051208,0.1451906264,0.0726134628,0.0439023934,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0128670018,-0.0280976668,0.0000019611,0.0107897371,-0.0280981660,-0.0027379054
19:16:29:38.278,61,0.0051169414,0.0000000000,0.0204617083,0.0000000000,0.0704546645,0.1894958913,0.0000000000,0.0050596520,0.0000000000,0.0000000000,0.0000000000,0.0708226785,0.1899138689,0.0000000000,0.0185651053,0.1032829881,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0615254939,0.0000000000,0.2863007784,0.2172959745,0.0000000000,0.0000000000,0.0519626029,0.0410717204,0.1008912101,0.0319697410,0.0323086567,0.0038450509,0.0264980029,0.0178546105,0.0102225924,0.0071842414,0.1663201451,0.0723164827,0.0635990500,0.0223792735,0.0141784288,0.0101933777,0.0032245403,0.0000000000,0.0000000000,0.0015871366,0.1517015249,0.1454530209,0.0732100457,0.0443528779,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0132333934,-0.0281427503,-0.0000218170,0.0109015405,-0.0281433985,-0.0027491176
19:16:29:39.278,61,0.0056130090,0.0000000000,0.0201136023,0.0000000000,0.0687682033,0.1910536885,0.0000000000,0.0055462392,0.0000000000,0.0000000000,0.0000000000,0.0691272989,0.1914186925,0.0000000000,0.0186041538,0.1029290482,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0618243441,0.0000000000,0.2867150903,0.2169420421,0.0000000000,0.0000000000,0.0521763898,0.0411598496,0.1014960632,0.0326364785,0.0325733274,0.0038337926,0.0268667787,0.0181037430,0.0103262318,0.0072640572,0.1655709743,0.0712350830,0.0637989566,0.0223149229,0.0126202889,0.0085267872,0.0030152909,0.0000000000,0.0000000000,0.0016080085,0.1525448263,0.1458071321,0.0736216456,0.0445602760,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0130684171,-0.0274689272,-0.0000226721,0.0107179582,-0.0274695233,-0.0026811641
19:16:29:40.281,61,0.0057762899,0.0000000000,0.0210580584,0.0000000000,0.0683424771,0.1902045310,0.0000000000,0.0057079350,0.0000000000,0.0000000000,0.0000000000,0.0687085465,0.1906126589,0.0000000000,0.0184378829,0.1032367349,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0622343831,0.0000000000,0.2871771455,0.2168668211,0.0000000000,0.0000000000,0.0520871095,0.0410083495,0.1017957106,0.0327222496,0.0326631516,0.0037545285,0.0270107780,0.0181670431,0.0103363814,0.0072653997,0.1652661115,0.0703055188,0.0638545230,0.0221212469,0.0116515774,0.0075143338,0.0032323957,0.0000000000,0.0000000000,0.0016284216,0.1525235772,0.1456264257,0.0699100271,0.0420499928,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135434344,-0.0273019150,-0.0000571006,0.0112269819,-0.0273024440,-0.0027009412
19:16:29:41.282,61,0.0060252044,0.0000000000,0.0206758659,0.0000000000,0.0663109124,0.1892604232,0.0000000000,0.0059537315,0.0000000000,0.0000000000,0.0000000000,0.0666663349,0.1897081137,0.0000000000,0.0181924142,0.1033315137,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0625525415,0.0000000000,0.2873633504,0.2165960521,0.0000000000,0.0000000000,0.0518523045,0.0407640673,0.1014581397,0.0323355757,0.0328187533,0.0036780490,0.0272106119,0.0182713997,0.0103467610,0.0072699939,0.1644889563,0.0691170469,0.0639304146,0.0219910908,0.0142562743,0.0102041727,0.0035165465,0.0000000000,0.0000000000,0.0016516176,0.1525623202,0.1455630362,0.0688043237,0.0412635878,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0132031944,-0.0264904276,-0.0000488081,0.0110257640,-0.0264907554,-0.0026203515
19:16:29:42.284,61,0.0065800715,0.0000000000,0.0211543404,0.0000000000,0.0615739450,0.1887605190,0.0000000000,0.0064949924,0.0000000000,0.0000000000,0.0000000000,0.0619168170,0.1892183125,0.0000000000,0.0180022530,0.1018913686,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0625304282,0.0000000000,0.2872885764,0.2162975669,0.0000000000,0.0000000000,0.0516304672,0.0405715182,0.1007979438,0.0319937281,0.0328990147,0.0036175677,0.0273656230,0.0183678735,0.0103598181,0.0072909645,0.1634436548,0.0682192519,0.0639539883,0.0219907016,0.0182507765,0.0144299259,0.0038294287,0.0000000000,0.0000000000,0.0016656142,0.1525619775,0.1454457790,0.0683832169,0.0410472080,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0132689811,-0.0246021971,-0.0000861415,0.0112932399,-0.0246021375,-0.0024806750
19:16:29:43.285,61,0.0070289229,0.0000000000,0.0232876800,0.0000000000,0.0580543727,0.1878208965,0.0000000000,0.0069343448,0.0000000000,0.0000000000,0.0000000000,0.0584027357,0.1882852912,0.0000000000,0.0177115928,0.1014426202,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0626911223,0.0000000000,0.2870049775,0.2153594196,0.0000000000,0.0000000000,0.0512953997,0.0402285010,0.1002690122,0.0316006802,0.0331922211,0.0035235984,0.0275700763,0.0184193105,0.0103508942,0.0072859032,0.1590520144,0.0619243532,0.0636872500,0.0216771048,0.0249395650,0.0210935399,0.0048725917,0.0000000000,0.0000000000,0.0017009312,0.1525890827,0.1452468038,0.0678956956,0.0406496301,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0141434278,-0.0232043006,-0.0001649290,0.0124485344,-0.0232038088,-0.0024358556
19:16:29:44.287,61,0.0074221892,0.0000000000,0.0239229947,0.0000000000,0.0577693284,0.1866566986,0.0000000000,0.0073198173,0.0000000000,0.0000000000,0.0000000000,0.0581219569,0.1871195138,0.0000000000,0.0173634328,0.1009621695,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0627489984,0.0000000000,0.2865666151,0.2145842761,0.0000000000,0.0000000000,0.0508812815,0.0398433506,0.0997150391,0.0312697403,0.0334430188,0.0034307719,0.0276768189,0.0183727015,0.0103122741,0.0072556320,0.1564100981,0.0591415539,0.0632519796,0.0212914255,0.0280213729,0.0242014956,0.0054887920,0.0000000000,0.0000000000,0.0017181204,0.1522973776,0.1447615325,0.0673476383,0.0401943624,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0143825188,-0.0230924264,-0.0001816179,0.0127910003,-0.0230918601,-0.0024475651
