Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
18:45:19:48.451,61,0.0000000000,0.0000000000,0.0607755743,0.0000000000,0.0000000000,0.0000000000,0.0122276042,0.0000000000,0.0000000000,0.0000000000,0.0050477497,0.0000000000,0.0000000000,0.0122784255,0.0032217093,0.0000000000,0.0000000000,0.0378505923,0.0205636043,0.1300904602,0.0187924188,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048325150,0.0053462153,0.0010142364,0.0014300052,0.0000000000,0.0000000000,0.0000000000,0.0041607474,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0546401218,0.0664485469,0.0119063528,0.0168416630,0.1718428433,0.1717308909,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000046,0.0000000000,0.0000000000,0.0000000000,0.0300089754,0.0019887555,-0.0009007605,0.0328077897,0.0019895528,-0.0007765847
18:45:19:49.452,61,0.0000000000,0.0000000000,0.0509137176,0.0000000000,0.0000000000,0.0000000000,0.0402240716,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0402728133,0.0050445087,0.0000000000,0.0000000000,0.0451614074,0.0208124500,0.1497785747,0.0188211240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0118850768,0.0098396121,0.0014851668,0.0018689727,0.0000000000,0.0000000000,0.0000000000,0.0042253947,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0640854388,0.0713848397,0.0133836865,0.0183802806,0.0967913717,0.0966715440,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000055,0.0000000000,0.0000000000,0.0000000000,0.0250015017,0.0062330831,-0.0007675582,0.0274955928,0.0062341783,-0.0002110573
18:45:19:50.454,61,0.0000000000,0.0000000000,0.0499484353,0.0000000000,0.0000000000,0.0000000000,0.0473336428,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0473819114,0.0058755712,0.0000000000,0.0000000000,0.0477941893,0.0211561844,0.1554665864,0.0190089457,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0148093002,0.0125772590,0.0017226262,0.0020922630,0.0000000000,0.0000000000,0.0000000000,0.0042603305,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0670878813,0.0731241107,0.0144386385,0.0193750113,0.0863342658,0.0862098187,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000074,0.0000000000,0.0000000000,0.0000000000,0.0244550835,0.0062853098,-0.0007545808,0.0269746333,0.0062864479,-0.0001935938
18:45:19:51.455,61,0.0000000000,0.0000000000,0.0558021143,0.0000000000,0.0000000000,0.0000000000,0.0513666384,0.0000000000,0.0000000000,0.0000000000,0.0012463856,0.0000000000,0.0000000000,0.0514142029,0.0064812754,0.0000000000,0.0000000000,0.0489696078,0.0213192981,0.1540002376,0.0192037765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0166447535,0.0141417310,0.0017461329,0.0020852489,0.0000000000,0.0000000000,0.0000000000,0.0042577535,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0679309219,0.0734834224,0.0149972504,0.0198845379,0.1079744175,0.1078678221,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000122,0.0000000000,0.0000000000,0.0000000000,0.0276878178,0.0038426481,-0.0008338138,0.0301284045,0.0038432181,-0.0005147110
18:45:19:52.457,61,0.0000000000,0.0000000000,0.0422561690,0.0000000000,0.0000000000,0.0000000000,0.0532288067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0532761961,0.0071269306,0.0000000000,0.0000000000,0.0499300845,0.0216366537,0.1541861743,0.0193359610,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0178732183,0.0158355795,0.0018930365,0.0022221662,0.0000000000,0.0000000000,0.0000000000,0.0042697447,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0686308742,0.0738149509,0.0156911258,0.0204083044,0.1027316451,0.1026192755,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000104,0.0000000000,0.0000000000,0.0000000000,0.0204647705,0.0070345476,-0.0006639211,0.0228239074,0.0070355237,-0.0000252337
18:45:19:53.459,61,0.0000000000,0.0000000000,0.0353492275,0.0000000000,0.0000000000,0.0000000000,0.0538394302,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0538867861,0.0075842841,0.0000000000,0.0000000000,0.0505373329,0.0220122524,0.1540518105,0.0196239874,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0187087990,0.0169196278,0.0019641449,0.0022947746,0.0000000000,0.0000000000,0.0000000000,0.0042647948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0685774162,0.0735397637,0.0163098760,0.0208431967,0.1019272804,0.1018137410,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000105,0.0000000000,0.0000000000,0.0000000000,0.0168174356,0.0072916690,-0.0005819631,0.0190959349,0.0072925296,0.0000833541
18:45:19:54.460,61,0.0000000000,0.0000000000,0.0452342145,0.0000000000,0.0000000000,0.0000000000,0.0522698089,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0523177646,0.0078727873,0.0000000000,0.0000000000,0.0506780818,0.0219203662,0.1537147313,0.0197184477,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0190690439,0.0175404381,0.0019668061,0.0022782942,0.0000000000,0.0000000000,0.0000000000,0.0042463909,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0681469664,0.0730809271,0.0168706235,0.0212371536,0.1251396537,0.1250248402,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000121,0.0000000000,0.0000000000,0.0000000000,0.0224396586,0.0038764328,-0.0006955280,0.0244241431,0.0038762148,-0.0003627138
18:45:19:55.462,61,0.0000000000,0.0000000000,0.0474595875,0.0000000000,0.0000000000,0.0000000000,0.0502142943,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0502627306,0.0081192935,0.0000000000,0.0000000000,0.0506182760,0.0218156986,0.1529947817,0.0198242310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192806050,0.0180507246,0.0019362210,0.0022244507,0.0000000000,0.0000000000,0.0000000000,0.0042442023,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0676718950,0.0725851506,0.0173068941,0.0214842297,0.1398990452,0.1397852153,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000121,0.0000000000,0.0000000000,0.0000000000,0.0236996412,0.0025953650,-0.0007245843,0.0256220624,0.0025948137,-0.0005174852
18:45:19:56.463,61,0.0000000000,0.0000000000,0.0359508842,0.0000000000,0.0000000000,0.0000000000,0.0504147112,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0504633486,0.0085024005,0.0000000000,0.0000000000,0.0509441718,0.0220955200,0.1530016214,0.0201259982,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0202676021,0.0193082318,0.0019370393,0.0021710307,0.0000000000,0.0000000000,0.0000000000,0.0042474680,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0677260235,0.0725924224,0.0177559797,0.0218002126,0.1454928666,0.1453791410,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000131,0.0000000000,0.0000000000,0.0000000000,0.0173163377,0.0007458068,-0.0005304504,0.0194054022,0.0007450618,-0.0005143492
18:45:19:57.465,61,0.0000000000,0.0000000000,0.0325905047,0.0000000000,0.0267499946,0.0000000000,0.0587424152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0269846041,0.0000000000,0.0588044412,0.0089650666,0.0000000000,0.0000000000,0.0514735244,0.0225519724,0.1531652361,0.0202979185,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0208667330,0.0201116353,0.0019923227,0.0021230350,0.0000000000,0.0000000000,0.0000000000,0.0043421984,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0681449324,0.0727361515,0.0179169960,0.0217511896,0.1489586830,0.1488449723,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000145,0.0000000000,0.0000000000,0.0000000000,0.0160235539,-0.0109507125,-0.0003646572,0.0175554827,-0.0109546781,-0.0014948328
