Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
14:58:02:44.643,61,0.0000000000,0.0105142975,0.0000000000,0.0000000000,0.0000000000,0.0018138944,0.0078111598,0.0000000000,0.0104699787,0.0061960034,0.0000000000,0.0000000000,0.0018346497,0.0079046413,0.0006976639,0.0000000000,0.0026172849,0.0066267117,0.0146350255,0.0056678494,0.0158808436,0.0002745216,0.0000000000,0.0000000000,0.0000000000,0.0165063087,0.0203369334,0.0000000000,0.0000000000,0.0133881951,0.0171914790,0.0022532681,0.0003917145,0.0023140348,0.0005064599,0.0000000000,0.0000000000,0.0061654244,0.0084201917,0.0006564653,0.0003908759,0.0000000000,0.0000000000,0.0446595065,0.0440472066,0.0440413952,0.0000000000,0.0059083309,0.0067652776,0.0167479888,0.0137624014,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0035002194,0.0054563805,-0.0005593770,-0.0023138151,0.0054599419,0.0001210510
14:58:02:45.645,61,0.0000000000,0.0106357597,0.0000000000,0.0000000000,0.0000000000,0.0016787555,0.0076712365,0.0000000000,0.0105923442,0.0061006248,0.0000000000,0.0000000000,0.0016988813,0.0077637779,0.0006904509,0.0000000000,0.0026531657,0.0066087237,0.0145470053,0.0058554322,0.0157582611,0.0003176449,0.0000000000,0.0000000000,0.0000000000,0.0165456440,0.0204066858,0.0000000000,0.0000000000,0.0134033579,0.0171773750,0.0021935590,0.0003576673,0.0023287269,0.0005567832,0.0000000000,0.0000000000,0.0063037369,0.0085411314,0.0007826655,0.0005104329,0.0000000000,0.0000000000,0.0439249538,0.0436008424,0.0435956754,0.0000000000,0.0058600307,0.0066907648,0.0167832542,0.0138131902,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0034457520,0.0055197701,-0.0005568471,-0.0022845902,0.0055233464,0.0001277570
14:58:02:46.646,61,0.0000000000,0.0112189790,0.0000000000,0.0000000000,0.0000000000,0.0014416133,0.0074231569,0.0000000000,0.0111745913,0.0062823338,0.0000000000,0.0000000000,0.0014605673,0.0075141801,0.0006754491,0.0000000000,0.0027274783,0.0065628858,0.0144509319,0.0058865487,0.0157044400,0.0003117629,0.0000000000,0.0000000000,0.0000000000,0.0163745005,0.0202917457,0.0000000000,0.0000000000,0.0133270975,0.0171699747,0.0021653126,0.0003250828,0.0024086498,0.0006388358,0.0000000000,0.0000000000,0.0063100248,0.0085957274,0.0009092030,0.0006346096,0.0000000000,0.0000000000,0.0434722379,0.0432530493,0.0432481728,0.0000000000,0.0058024139,0.0066005276,0.0168899857,0.0139194066,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0035477169,0.0058228970,-0.0005800272,-0.0023612641,0.0058265030,0.0001387880
14:58:02:47.648,61,0.0000000000,0.0119283376,0.0000000000,0.0000000000,0.0000000000,0.0012420414,0.0071709389,0.0000000000,0.0118856188,0.0062274379,0.0000000000,0.0000000000,0.0012601092,0.0072615151,0.0006481655,0.0000000000,0.0027754081,0.0064680399,0.0142985424,0.0059553990,0.0156638566,0.0003067103,0.0000000000,0.0000000000,0.0000000000,0.0161791891,0.0201048870,0.0000000000,0.0000000000,0.0131894555,0.0170841590,0.0020854580,0.0002826476,0.0024413134,0.0006968756,0.0000000000,0.0000000000,0.0063735847,0.0086870389,0.0010453074,0.0007689270,0.0000000000,0.0000000000,0.0430779085,0.0430550352,0.0430507548,0.0000000000,0.0057170321,0.0064947284,0.0169512145,0.0139926504,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0035149716,0.0061924085,-0.0005929829,-0.0023135394,0.0061960071,0.0001659812
14:58:02:48.649,61,0.0000000000,0.0123080527,0.0000000000,0.0000000000,0.0000000000,0.0011140077,0.0068322336,0.0000000000,0.0122651430,0.0063308282,0.0000000000,0.0000000000,0.0011312987,0.0069222380,0.0006288753,0.0000000000,0.0028051955,0.0063991356,0.0141988061,0.0059251674,0.0157965571,0.0002712532,0.0000000000,0.0000000000,0.0000000000,0.0161256958,0.0200314149,0.0000000000,0.0000000000,0.0129306698,0.0168788414,0.0020450000,0.0002546609,0.0025091402,0.0007575644,0.0000000000,0.0000000000,0.0062158825,0.0085727768,0.0011158993,0.0008445435,0.0000000000,0.0000000000,0.0430616997,0.0429142565,0.0429103747,0.0000000000,0.0056660483,0.0064229807,0.0169678405,0.0140144145,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0035728738,0.0063899457,-0.0006073029,-0.0023359470,0.0063935369,0.0001758351
14:58:02:49.651,61,0.0000000000,0.0129869804,0.0000000000,0.0000000000,0.0000000000,0.0010464094,0.0058911666,0.0000000000,0.0129454117,0.0062825410,0.0000000000,0.0000000000,0.0010625942,0.0059774471,0.0006167599,0.0000000000,0.0028889326,0.0063918945,0.0141562643,0.0059672887,0.0159673467,0.0001913006,0.0000000000,0.0000000000,0.0000000000,0.0160880722,0.0199751705,0.0000000000,0.0000000000,0.0128517002,0.0169135109,0.0020091347,0.0002331024,0.0025728680,0.0008195698,0.0000000000,0.0000000000,0.0061855922,0.0086274892,0.0012030046,0.0009324323,0.0000000000,0.0000000000,0.0433667153,0.0429655463,0.0429618359,0.0000000000,0.0056787739,0.0064151427,0.0170850921,0.0141276615,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0035439283,0.0067434758,-0.0006199274,-0.0023073517,0.0067471266,0.0002002129
14:58:02:50.652,61,0.0000000000,0.0133697614,0.0000000000,0.0000000000,0.0000000000,0.0009879934,0.0049981521,0.0000000000,0.0133296158,0.0061972952,0.0000000000,0.0000000000,0.0010031394,0.0050824606,0.0006072784,0.0000000000,0.0029340091,0.0063727763,0.0141321570,0.0058381413,0.0161132347,0.0001053730,0.0000000000,0.0000000000,0.0000000000,0.0161165632,0.0199416243,0.0000000000,0.0000000000,0.0127919773,0.0169419236,0.0020079680,0.0002345156,0.0025899070,0.0008185071,0.0000032584,0.0000000000,0.0059891506,0.0085061183,0.0011706563,0.0009077506,0.0000000000,0.0000000000,0.0436600596,0.0429535694,0.0429495275,0.0000000000,0.0056532095,0.0063714841,0.0170949250,0.0141470348,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0034946501,0.0069430023,-0.0006237910,-0.0022594184,0.0069466531,0.0002171136
14:58:02:51.654,61,0.0000000000,0.0143969562,0.0000000000,0.0000000000,0.0000000000,0.0008650620,0.0038527087,0.0000000000,0.0143632255,0.0058942181,0.0000000000,0.0000000000,0.0008790197,0.0039362274,0.0005787419,0.0000000000,0.0029838965,0.0063278889,0.0140682096,0.0056573609,0.0164012499,0.0000095585,0.0000000000,0.0000000000,0.0000000000,0.0159698520,0.0197098106,0.0000000000,0.0000000000,0.0124292728,0.0166754015,0.0019734059,0.0002312092,0.0026168481,0.0008296423,0.0000157961,0.0000000000,0.0057085929,0.0083311899,0.0011500440,0.0008950981,0.0000000000,0.0000000000,0.0434339978,0.0424495935,0.0424454100,0.0000000000,0.0056006135,0.0062990594,0.0171323791,0.0141964778,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0033201687,0.0074796006,-0.0006299210,-0.0019502416,0.0074832216,0.0002805213
14:58:02:52.655,61,0.0000000000,0.0143166473,0.0000000000,0.0000000000,0.0000000000,0.0007859569,0.0030936974,0.0000000000,0.0142870406,0.0056048613,0.0000000000,0.0000000000,0.0007990211,0.0031774843,0.0005627417,0.0000000000,0.0030084082,0.0062977779,0.0140372487,0.0055194939,0.0166343860,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0160169844,0.0196754634,0.0000000000,0.0000000000,0.0121829007,0.0164944492,0.0019731997,0.0002394391,0.0026419566,0.0008253679,0.0000319405,0.0000000000,0.0053545469,0.0080599552,0.0010862026,0.0008401549,0.0000000000,0.0000000000,0.0435877293,0.0422555879,0.0422514603,0.0000000000,0.0055738804,0.0062576188,0.0170958601,0.0141722700,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0031559505,0.0074393004,-0.0006118710,-0.0017172396,0.0074428245,0.0003011208
14:58:02:53.657,61,0.0000000000,0.0145295775,0.0000000000,0.0000000000,0.0000000000,0.0006620446,0.0023191473,0.0000000000,0.0145044317,0.0052910061,0.0000000000,0.0000000000,0.0006741511,0.0024033284,0.0005314279,0.0000000000,0.0030195324,0.0061972719,0.0139086284,0.0053553041,0.0169721004,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0161425527,0.0197489802,0.0000000000,0.0000000000,0.0117379911,0.0161163155,0.0019542638,0.0002371402,0.0026799890,0.0008357295,0.0000516520,0.0000000000,0.0047415905,0.0075268275,0.0010087817,0.0007716463,0.0000000000,0.0000000000,0.0436163023,0.0419246405,0.0419204347,0.0000000000,0.0054752328,0.0061352714,0.0169460252,0.0140340356,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0029771701,0.0075515434,-0.0005989778,-0.0014891736,0.0075550452,0.0003306521
