Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
19:55:16:26.689,61,0.0000000000,0.0000000000,0.0515275709,0.0000000000,0.1006645113,0.0834257454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0283576157,0.1018327922,0.0831778497,0.0000000000,0.0006732946,0.0096161747,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0227976758,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1096159592,0.1275133193,0.0000000000,0.0000000000,0.0078147668,0.0000000000,0.0471651070,0.0000000000,0.0855753347,0.0571813583,0.0091977883,0.0098714288,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2740176320,0.2737864554,0.1747213006,0.0000000000,0.0000000000,0.0122037493,0.0000000000,0.0078661023,0.0000000000,0.0000000000,0.0000000208,0.0000000000,0.0000000000,0.0000000000,0.0168914758,-0.0427327976,-0.0015813141,0.0250300765,-0.0427463390,-0.0066255769
19:55:16:27.691,61,0.0000000000,0.0000000000,0.0506869443,0.0000000000,0.1015252694,0.0832183063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0272769742,0.1026970148,0.0829702243,0.0000000000,0.0007100651,0.0096358173,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0229506101,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1097675934,0.1276291013,0.0000000000,0.0000000000,0.0076455530,0.0000000000,0.0472342558,0.0000000000,0.0859743729,0.0574945956,0.0092698280,0.0099413972,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2747749984,0.2745449245,0.1746418625,0.0000000000,0.0000000000,0.0122416224,0.0000000000,0.0082739871,0.0000000000,0.0000000000,0.0000000188,0.0000000000,0.0000000000,0.0000000000,0.0162463058,-0.0430942401,-0.0015535208,0.0246154666,-0.0431077294,-0.0066535240
19:55:16:28.692,61,0.0000000000,0.0000000000,0.0519648008,0.0000000000,0.1003411338,0.0822418630,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0286609493,0.1015097797,0.0820050240,0.0000000000,0.0006659025,0.0097499928,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0230668020,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1092647091,0.1272272915,0.0000000000,0.0000000000,0.0070915716,0.0000000000,0.0470925160,0.0000000000,0.0860312358,0.0575097501,0.0092825405,0.0099460781,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2743849456,0.2741549015,0.1739010662,0.0000000000,0.0000000000,0.0122789200,0.0000000000,0.0082984390,0.0000000000,0.0000000000,0.0000000168,0.0000000000,0.0000000000,0.0000000000,0.0170726422,-0.0425975919,-0.0015880046,0.0252453089,-0.0426110812,-0.0066185780
19:55:16:29.693,61,0.0000000000,0.0000000000,0.0500210635,0.0000000000,0.0995487347,0.0819443911,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0265290607,0.1006952599,0.0817059129,0.0000000000,0.0007151289,0.0096591590,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0232035797,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1088304520,0.1268430948,0.0000000000,0.0000000000,0.0068717613,0.0000000000,0.0471764095,0.0000000000,0.0862556323,0.0576643348,0.0093216477,0.0099857459,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2754814029,0.2752537727,0.1734108031,0.0000000000,0.0000000000,0.0122827264,0.0000870565,0.0086370744,0.0000000000,0.0000000000,0.0000000143,0.0000000000,0.0000000000,0.0000000000,0.0158016980,-0.0422535911,-0.0015021974,0.0242966563,-0.0422668085,-0.0065128542
19:55:16:30.695,61,0.0000000000,0.0000000000,0.0512938909,0.0000000000,0.0981832221,0.0813530609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0275355373,0.0993259400,0.0811131448,0.0000000000,0.0007517256,0.0096399616,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0232854560,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1088488027,0.1269396693,0.0000000000,0.0000000000,0.0068432400,0.0000000000,0.0472162776,0.0000000000,0.0865505785,0.0579166561,0.0093657291,0.0100323390,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2757390141,0.2755125165,0.1745033860,0.0000000000,0.0000000000,0.0122890947,0.0004291407,0.0089520346,0.0000000000,0.0000000000,0.0000000147,0.0000000000,0.0000000000,0.0000000000,0.0164030176,-0.0416801162,-0.0015206935,0.0249246359,-0.0416931473,-0.0064662434
19:55:16:31.697,61,0.0000000000,0.0000000000,0.0501412898,0.0000000000,0.0968148187,0.0802538469,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0269257519,0.0979330391,0.0800151676,0.0000000000,0.0006699741,0.0097608203,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0233845338,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1089819446,0.1271029413,0.0000000000,0.0000000000,0.0063513275,0.0000000000,0.0472637601,0.0000000000,0.0865792334,0.0579080284,0.0094060777,0.0100682629,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2754021883,0.2751764059,0.1743531972,0.0000000000,0.0000000000,0.0123487338,0.0003949833,0.0088686924,0.0000000000,0.0000000000,0.0000000162,0.0000000000,0.0000000000,0.0000000000,0.0160403047,-0.0410950780,-0.0014821504,0.0243652165,-0.0411080942,-0.0063490784
19:55:16:32.699,61,0.0000000000,0.0000000000,0.0472690016,0.0000000000,0.0956783816,0.0795406997,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0244110804,0.0967628583,0.0792983621,0.0000000000,0.0006362908,0.0097195413,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0235483311,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1093751937,0.1275557280,0.0000000000,0.0000000000,0.0061203409,0.0000000000,0.0473110192,0.0000000000,0.0869570747,0.0581892990,0.0094731161,0.0101310080,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2760523856,0.2758285999,0.1744656116,0.0000000000,0.0000000000,0.0124153374,0.0004437997,0.0088800546,0.0000000000,0.0000000000,0.0000000168,0.0000000000,0.0000000000,0.0000000000,0.0145411268,-0.0406016335,-0.0013812508,0.0229629725,-0.0406144634,-0.0061977627
19:55:16:33.700,61,0.0000000000,0.0000000000,0.0478126146,0.0000000000,0.0948271677,0.0788174644,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0249564536,0.0959069207,0.0785694495,0.0000000000,0.0006599770,0.0096486174,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0236513913,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1097129136,0.1279012263,0.0000000000,0.0000000000,0.0060603032,0.0000000000,0.0473564193,0.0000000000,0.0872009248,0.0583692901,0.0094998106,0.0101549737,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2759112716,0.2756893337,0.1744714379,0.0000000000,0.0000000000,0.0124313934,0.0004797344,0.0088971956,0.0000000000,0.0000000000,0.0000000145,0.0000000000,0.0000000000,0.0000000000,0.0148670245,-0.0402430445,-0.0013898631,0.0232320428,-0.0402558222,-0.0061615594
19:55:16:34.702,61,0.0000000000,0.0000000000,0.0473390184,0.0000000000,0.0929255858,0.0774691924,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0247023776,0.0939818174,0.0772219002,0.0000000000,0.0005793126,0.0097216396,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0236791223,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1099018380,0.1281166077,0.0000000000,0.0000000000,0.0058150264,0.0000000000,0.0473139249,0.0000000000,0.0872844011,0.0584190488,0.0095276916,0.0101773087,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2753081918,0.2750867605,0.1743837446,0.0000000000,0.0000000000,0.0124933384,0.0002281734,0.0086512379,0.0000000000,0.0000000000,0.0000000162,0.0000000000,0.0000000000,0.0000000000,0.0147167556,-0.0394351296,-0.0013585010,0.0230066627,-0.0394477546,-0.0060329046
19:55:16:35.704,61,0.0000000000,0.0000000000,0.0461453982,0.0000000000,0.0916004926,0.0756586567,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0237975772,0.0926339328,0.0754005164,0.0000000000,0.0004809388,0.0097118989,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0237949956,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1101639122,0.1285337806,0.0000000000,0.0000000000,0.0056578163,0.0000000000,0.0473029353,0.0000000000,0.0876735672,0.0586927608,0.0095813591,0.0102226473,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2753885388,0.2751684487,0.1743414551,0.0000000000,0.0000000000,0.0125522017,0.0000351253,0.0083760377,0.0000000000,0.0000000000,0.0000000161,0.0000000000,0.0000000000,0.0000000000,0.0141778775,-0.0388687924,-0.0013124471,0.0224266946,-0.0388813019,-0.0059196344
